type,key_area,key_attribute,theme,capability,E1,E2,E3,E4,E5,E6
meta_name,"Full Stack TypeScript Engineer (IC Technical, E1-E6) - Canonical",,,,,,,,,
meta_description,"Canonical six-level IC ladder for engineers who own features end to end across UI, API, and data layers in a TypeScript-centered stack, consolidated by union from five independent blind generations; E3 Senior is the terminal level.
",,,,,,,,,
level_title,,,,,Associate Full Stack Engineer,Full Stack Engineer,Senior Full Stack Engineer,Staff Full Stack Engineer,Senior Staff Full Stack Engineer,Principal Full Stack Engineer
level_scope,,,,,task,component,capability / domain (terminal level),multiple teams,organization,company
level_focus,,,,,ships well-defined tasks across the stack with guidance and learns the stack,independently delivers complete features spanning UI,owns a product capability across the stack and sets the local bar,drives technical outcomes across multiple teams and multiplies other engineers,sets technical direction and standards for the organization,shapes company-level technical strategy and represents engineering externally
skill,Frontend Engineering,UI Implementation,Component design & composition,FE-01,"Depth: Builds simple components from existing patterns; relies on review to validate boundaries and props.

Evidenced by: Builds components from an existing design system to spec, following the patterns in neighboring code and asking when a mockup is ambiguous.","Depth: Composes reusable components independently, handling standard prop, state, and event wiring with normal review.

Evidenced by: Decomposes a feature into a sensible component hierarchy without being handed the breakdown, choosing props vs. composition deliberately and reusing shared components rather than forking them.","Depth: Designs component hierarchies and clear interfaces autonomously; resolves tricky composition and reuse trade-offs.

Evidenced by: Designs the component APIs a capability's UI is built from, catching prop-drilling, leaky abstractions, and reuse-hostile boundaries in review before they ship, and extends the design system with primitives that get reused.","Depth: Defines the component architecture and conventions teams adopt; untangles deeply coupled or overgrown trees.

Evidenced by: Establishes the shared component and design-system patterns several teams build against, deprecating divergent one-offs with migration paths.","Depth: Sets organization-wide component design strategy; anticipates how composition models should evolve.

Evidenced by: Sets the organization's frontend architecture direction — design-system governance, framework and rendering-model choices — and removes the systemic obstacles blocking it.","Depth: Defines what good component architecture means industrywide; shapes practice through widely adopted patterns.

Evidenced by: Makes the company-level frontend bets (platform, framework generation, build-vs-buy for the design system) and is the named authority when they're contested."
skill,Frontend Engineering,UI Implementation,Styling & responsive layout,FE-09,"Depth: Applies existing styles and tokens to components under review.

Evidenced by: Implements designs to match mockups at standard breakpoints using the project's styling approach; fixes visual bugs with guidance on cascade and specificity issues.","Depth: Implements styling independently following design systems for standard components.

Evidenced by: Builds layouts that hold up across viewports and content lengths without per-case hacks, choosing flexbox and grid appropriately and using design tokens consistently.","Depth: Designs scalable styling systems autonomously; resolves specificity, theming, and reuse issues.

Evidenced by: Untangles specificity and layout problems others are stuck on and establishes styling conventions (tokens, layering, theming) that keep the capability's CSS predictable.","Depth: Defines styling architecture and conventions others adopt; untangles fragile, sprawling styles.

Evidenced by: Consolidates styling approaches across teams into one system, retiring duplicated patterns and writing the migration guide teams actually follow.","Depth: Sets styling-system strategy across the organization; anticipates evolving presentation approaches.

Evidenced by: Owns the org's theming and visual-consistency strategy, deciding tooling and token architecture and measuring adoption.","Depth: Defines what good styling architecture means industrywide; shapes widely adopted systems.

Evidenced by: Directs company-level presentation-layer strategy, including brand-scale theming, white-labeling, or multi-product visual platforms."
skill,Frontend Engineering,State & Data Flow,Client state management & data flow,FE-05,"Depth: Reads and updates simple shared state following established patterns under review.

Evidenced by: Uses the codebase's existing state patterns correctly — local state vs. shared store vs. server cache — and traces where a given piece of state lives and why.","Depth: Manages component and shared state independently for standard flows with normal review.

Evidenced by: Chooses the right home for each piece of state (local, lifted, global, URL, server-cache) and keeps derived state computed rather than duplicated, with loading, error, and stale states honest in the UI.","Depth: Designs state architecture autonomously; resolves complex synchronization and ownership issues.

Evidenced by: Designs the state architecture for a capability — cache invalidation, optimistic updates, real-time sync — and spots stale-data, race-condition, and re-render-prone flows in others' code before they ship.","Depth: Defines state-management patterns others adopt; untangles tangled global and derived state.

Evidenced by: Converges divergent state approaches across teams into shared patterns, writing the decision record and unwinding the worst legacy state tangles personally.","Depth: Sets state-management strategy across the organization; anticipates evolving paradigms.

Evidenced by: Sets the org's client-data architecture (caching strategy, offline posture, real-time sync) and arbitrates when teams' needs conflict.","Depth: Defines what good client state management means; shapes industry patterns and practice.

Evidenced by: Owns the long-horizon client-data strategy — the model the company's products converge on — and sponsors the platform work to get there."
skill,Frontend Engineering,State & Data Flow,Data fetching & caching,FE-06,"Depth: Fetches and displays data for simple endpoints under review.

Evidenced by: Fetches data through the codebase's established client and hooks and renders loading and error states; reproduces a stale-data bug with guidance.","Depth: Implements fetching with loading and error states independently for standard cases.

Evidenced by: Implements fetching with correct cache keys, invalidation, and race handling, and handles pagination and optimistic updates using established patterns.","Depth: Designs fetching and caching strategies autonomously; handles invalidation and race conditions.

Evidenced by: Designs the fetching and caching strategy for a capability — what is cached, for how long, and what invalidates it — and spots request waterfalls and N+1 patterns in review.","Depth: Defines fetching and caching patterns teams adopt; solves hard staleness and consistency problems.

Evidenced by: Standardizes data-access patterns across teams, building or selecting the shared data layer and deprecating ad-hoc fetching.","Depth: Sets strategy for client data access and caching; anticipates evolving data-sync models.

Evidenced by: Owns the org's client-server data strategy, including SSR and streaming trade-offs and cache coherence across products.","Depth: Shapes industry practice for client data fetching and caching; pioneers influential approaches.

Evidenced by: Sets company-level direction for how clients consume data at scale, shaping platform investments and vendor-versus-build decisions."
skill,Frontend Engineering,Frontend Quality,Accessibility,FE-12,"Depth: Applies basic accessibility fixes following checklists under review.

Evidenced by: Uses semantic HTML and design-system components rather than div soup, and runs the team's accessibility checks before requesting review.","Depth: Implements accessible components independently meeting standard requirements.

Evidenced by: Builds keyboard-navigable, screen-reader-usable features — focus management, labels, ARIA only where semantics fall short — verifying with assistive tech before merge.","Depth: Designs accessible experiences autonomously; resolves complex assistive-technology and interaction cases.

Evidenced by: Catches accessibility regressions in review that automated tools miss (focus traps, reading order, announced state changes) and teaches the patterns that prevent them.","Depth: Defines accessibility approaches teams adopt; solves the hardest inclusive-design problems.

Evidenced by: Builds accessibility into shared components and CI gates so teams inherit conformance by default, and drives remediation across surfaces no one team owns.","Depth: Sets accessibility strategy across the organization; anticipates evolving standards and needs.

Evidenced by: Owns the org's accessibility standard and audit posture, reporting conformance to leadership and prioritizing systemic fixes.","Depth: Shapes industry accessibility practice; influences standards and widely referenced guidance.

Evidenced by: Sets company accessibility policy and represents it externally (compliance commitments, procurement, public conformance statements)."
