key,type,citation,link,notes
dreyfus1980,theory,"Dreyfus & Dreyfus, A Five-Stage Model of the Mental Activities Involved in Directed Skill Acquisition (1980)",https://apps.dtic.mil/sti/citations/ADA084551,Basis of the P1-P6 proficiency bands
tuckman1965,theory,"Tuckman, Developmental Sequence in Small Groups, Psychological Bulletin 63(6), 384-399 (1965)",https://doi.org/10.1037/h0022100,Forming-storming-norming-performing team stages
bauer2010,empirical,"Bauer, Onboarding New Employees: Maximizing Success, SHRM Foundation Effective Practice Guidelines (2010)",https://www.shrm.org/content/dam/en/shrm/topics-tools/news/talent-acquisition/Onboarding-New-Employees.pdf,Structured onboarding levels and outcomes
watkins2003,theory,"Watkins, The First 90 Days (Harvard Business Review Press, 2003)",,30/60/90 transition and ramp planning
sfia9,standard,"SFIA Foundation, Skills Framework for the Information Age, version 9 (2024)",https://sfia-online.org/en/sfia-9,Seven-level responsibility descriptors used as leveling standard
gitlab-em-jd,company-ladder,"GitLab Handbook, Engineering Management Job Framework (accessed 2026-07)",https://handbook.gitlab.com/job-families/engineering/engineering-management/,Published EM/Senior EM/Director requirement deltas
skelton-pais2019,theory,"Skelton & Pais, Team Topologies (IT Revolution, 2019)",,Team boundaries; org-level team formation patterns
haspeslagh1991,theory,"Haspeslagh & Jemison, Managing Acquisitions: Creating Value Through Corporate Renewal (Free Press, 1991)",,Integration design for step-change organizational growth
aaker1996-buildingbrands,theory,"Aaker, Building Strong Brands (Free Press, 1996)",,Brand identity system and brand architecture theory
aba-model-rules,standard,"American Bar Association, Model Rules of Professional Conduct (accessed 2026-07)",https://www.americanbar.org/groups/professional_responsibility/publications/model_rules_of_professional_conduct/,Rule 1.1 competence ('reasonable preparation'; commentary names the ceiling case as a 'lawyer of established competence in the field'); Rules 5.1/5.3 place review duty on supervising lawyers over subordinates/nonlawyer assistants. Link 403s but title confirmed via search.
acfe-rttn,standard,"Association of Certified Fraud Examiners, Report to the Nations: Occupational Fraud (accessed 2026-07)",https://acfe.com/fraud-resources/report-to-the-nations,"Fraud-examiner body-of-knowledge benchmark study on detection, investigation, and deterrence practice."
afp-ctp,standard,"Association for Financial Professionals, Essentials of Treasury Management (Certified Treasury Professional body of knowledge), 7th ed.",https://ctpcert.financialprofessionals.org/overview,"Certification-body body of knowledge for liquidity, cash positioning, and working-capital treasury practice"
agilemanifesto2001,theory,"Beck et al., Manifesto for Agile Software Development (2001)",https://agilemanifesto.org/,Founding incremental-delivery principles; grounds early-band work-breakdown leveling
