domain,segment,prefix,focus_areas,capabilities
Software Engineering,Engineering & Technology,SWE,2,10
Frontend & Client Engineering,Engineering & Technology,FE,5,17
Backend & Distributed Services,Engineering & Technology,BE,5,19
Architecture & System Design,Engineering & Technology,ARC,3,10
Computer Science Foundations,Engineering & Technology,CS,3,9
Mobile Engineering,Engineering & Technology,MOB,4,12
Data Engineering & Analytics,Engineering & Technology,DATA,5,20
AI & ML Engineering,Engineering & Technology,AI,6,21
"Systems, Infrastructure & Operations",Engineering & Technology,OPS,8,33
Security Engineering,Engineering & Technology,SEC,4,18
Quality Engineering & Test,Engineering & Technology,QA,4,14
Game Development,Engineering & Technology,GAME,4,12
Blockchain & Web3,Engineering & Technology,WEB3,3,8
UX & Product Design,"Product, Design & Cross-functional",UX,3,9
Product Management,"Product, Design & Cross-functional",PM,5,19
Engineering Management,"Product, Design & Cross-functional",EM,5,17
Developer Relations & Technical Communication,"Product, Design & Cross-functional",DR,3,10
Product & Delivery,"Product, Design & Cross-functional",PD,2,7
Communication & Collaboration,"Product, Design & Cross-functional",CC,2,6
Leadership & Influence,"Product, Design & Cross-functional",LI,4,11
Marketing & Communications,Business & Corporate Functions,MKT,4,13
Sales,Business & Corporate Functions,SAL,4,11
Partnerships & Business Development,Business & Corporate Functions,BD,3,6
Customer Success & Account Management,Business & Corporate Functions,CSM,4,9
Customer Support & Service Operations,Business & Corporate Functions,SUP,5,10
Finance & Accounting,Business & Corporate Functions,FIN,4,14
Procurement & Vendor Management,Business & Corporate Functions,PROC,4,8
People & Talent (HR),Business & Corporate Functions,HR,5,16
"Workplace, Facilities & Real Estate",Business & Corporate Functions,WPL,4,9
"Legal, Privacy & Compliance",Business & Corporate Functions,LEG,5,13
"Enterprise Risk, Audit & Governance",Business & Corporate Functions,RISK,5,12
Corporate Strategy & Executive Leadership,Business & Corporate Functions,STRAT,4,10
Business & Revenue Operations,Business & Corporate Functions,BIZ,4,10
Program & Portfolio Management,Business & Corporate Functions,PPM,3,8
Operations & Supply Chain,Business & Corporate Functions,SCM,5,15
Corporate IT & Workplace Technology,Business & Corporate Functions,CIT,5,10
