id,segment,domain,focus_area,capability,type,description,P1_assisted,P2_independent,P3_proficient,P4_expert,P5_authority,P6_pioneer
SWE-01,Engineering & Technology,Software Engineering,Code & Quality,Writing Code,Technical,"Produces correct, readable, idiomatic code.","Writes working, readable code in the team's language; debugs own changes.","Proficient in the primary language/ecosystem; handles errors, async and concurrency basics correctly.","Code is a reference others learn from; debugs the hard problems (races, memory, nondeterminism).",Mastery across multiple stacks/paradigms; solves problems others can't; sets implementation patterns.,Sets implementation standards adopted across the org; anticipates where code breaks at scale.,Industry-level depth; authors foundational primitives and idioms others build on.
SWE-02,Engineering & Technology,Software Engineering,Code & Quality,Code Quality & Maintainability,Technical,"Keeps code healthy, modular and maintainable.","Writes functional, readable code; uses version control correctly; responds well to review.","Writes clean, documented, modular code; gives useful review feedback.",Designs for maintainability; leads refactors of problem areas; review feedback teaches.,"Expert in code health at scale (shared libraries, deprecations, large migrations).",Shapes org-wide engineering standards for long-lived codebases.,Defines what good engineering looks like company-wide; externally recognized.
SWE-03,Engineering & Technology,Software Engineering,Code & Quality,Testing & Verification,Technical,Designs tests that give real confidence to ship.,Writes unit tests with guidance; tests own changes before merging.,Applies the testing pyramid; everything shipped arrives tested; mocks dependencies sensibly.,"Designs testable systems (contract, property-based, replay from prod); owns a test strategy.","Expert in test strategy at scale (test data, environments, deployment safety).",Sets testing/verification discipline across the org.,Shapes the company-wide quality culture; advances verification practice.
SWE-04,Engineering & Technology,Software Engineering,Code & Quality,Code Comprehension & Review,Technical,"Reads, reasons about and reviews others' code.",Navigates the codebase and understands code shown; reviews small changes.,"Independently understands unfamiliar code; gives timely, specific review feedback.",Quickly grasps complex/legacy systems; reviews raise the bar across a domain.,Expert at reviewing high-risk changes; review standards spread across teams.,Authority on review practice org-wide.,Defines what good review looks like; shapes industry-facing practice.
SWE-05,Engineering & Technology,Software Engineering,Design & Architecture,Software Design & Architecture,Technical,"Structures software — modules, boundaries, interfaces.","Implements designs specified by others; asks why, not just how.","Designs sound components; understands coupling, cohesion, interface design.","Designs systems for evolution: clean seams, versioned interfaces, replaceable parts.",Mastery of architecture for complex systems; sets patterns and prevents drift.,Sets multi-year architecture direction across the org.,Authoritative and externally credible; defines architectural approach others follow.
SWE-06,Engineering & Technology,Software Engineering,Design & Architecture,Debugging & Systems Diagnosis,Technical,Diagnoses defects and anomalies methodically.,Debugs issues in own code with support; uses basic tooling.,Independently diagnoses defects in own area systematically.,"Leads diagnosis of hard, cross-cutting failures; root cause not symptoms.",Expert at the rare/systemic failures; builds tooling that makes them visible.,The person called for the worst failures; sets diagnostic practice org-wide.,Authority on diagnosis; advances the discipline.
SWE-07,Engineering & Technology,Software Engineering,Design & Architecture,API & Service Design,Technical,"Designs clean, durable interfaces between systems.",Understands HTTP/REST and the deploy pipeline; makes guided changes.,"Designs clean APIs; understands rate limits, retries, timeouts, idempotency.",Designs services for scale and cost; understands distributed failure modes.,"Expert in platform/service design (multi-tenancy, capacity, shared services).",Sets interface standards used across the org.,Defines company-wide API approach; trusted with irreversible interface bets.
SWE-08,Engineering & Technology,Software Engineering,Design & Architecture,Type-System Domain Modeling,Technical,Uses a static type system as a design medium — encoding domain rules and invariants in types so invalid states are unrepresentable and whole defect classes are eliminated at compile time.,"Writes correctly typed code without escape hatches (`any`-equivalents), uses the codebase's existing types and generics correctly, and reads compiler errors to the actual cause with guidance.","Models feature domains so invalid states fail to compile — sum types / discriminated unions over boolean flags, narrowing over assertions — preferring type-level constraints where the compiler can carry the load.","Designs the shared domain types a capability is built on, keeping inference ergonomic for consumers; judges when type-level sophistication pays and when it obscures, and unwinds accumulated type erosion in others' code.","Sets type-design conventions multiple teams adopt — strictness policy, shared type libraries, branded identifiers, result types — and leads migrations that raise strictness without halting delivery.","Owns an organization's type-system posture — compiler baselines, monorepo type architecture, upgrade cadence — measured by defect and velocity outcomes.","Makes company-level language and type-platform bets and represents the practice externally (talks, upstream contributions, published patterns)."
SWE-09,Engineering & Technology,Software Engineering,Design & Architecture,Boundary Validation & End-to-End Type Integrity,Technical,"Validates untrusted data into precise types once at every system boundary (network, storage, configuration, third parties) and propagates a single source of type truth across client, server, and wire so contracts cannot silently drift.","Uses the codebase's shared contract types and schema validators at boundaries rather than hand-casting external data, and can point to where a type is checked at runtime.","Puts runtime validation at every I/O boundary they touch — requests, messages, configuration — deriving static types from the runtime schemas so compile-time and runtime cannot drift.","Designs end-to-end type integrity for a capability — schema-first contracts, generated clients, contract drift caught in continuous integration — and blocks unsound casts and unvalidated edges in review.","Builds the code-generation and contract-typing infrastructure multiple teams inherit, making boundary safety the default rather than a discipline, and resolves cross-team type drift at its source.","Sets the organization's boundary-safety standard and the platform tooling that enforces it, with incident evidence showing the failure classes it removed.","Owns contract-integrity strategy across products and external interfaces where a broken contract is a business event, and advances the state of practice publicly."
SWE-10,Engineering & Technology,Software Engineering,Code & Quality,AI-augmented development,Behavioral,"Works effectively with AI coding tools and agents while remaining accountable for the output - calibrating what to delegate and what to hand-write, verifying generated changes with the same rigor as hand-written ones, and setting the review and provenance practices that keep quality intact.","Uses AI coding tools with the output treated as a draft - reads every generated line, tests it, and can explain any part of the diff when asked.","Calibrates when generation helps and when it misleads for the work at hand; catches plausible-but-wrong generated code before review, and their AI-assisted changes pass review at the same rate as hand-written ones.","Sets the norms for AI-assisted work in a domain - what may be delegated to agents, what verification it requires, how provenance is noted in review - and coaches others out of over-trust and under-use.","Defines AI-assisted engineering practice across teams - where agents run in the delivery lifecycle, what gates their output - justified by throughput and defect data rather than vendor claims.","Drives an organization's AI-augmented engineering strategy - tooling selection, workflow redesign, skill expectations - and adjusts policy from measured delivery outcomes.",Shapes how software engineering itself changes with AI at company and industry level; a credible public voice on what changes and what doesn't.
