capability_id,level,source_keys,why
AI-01,P1,dreyfus1980;sfia9,"Calling documented APIs correctly under review, without yet judging prompt design trade-offs, is Dreyfus's novice band: following supplied rules (token limits, parameter defaults) without weighing context. SFIA Level 2 Assist matches: supervised use of a defined tool."
AI-01,P2,dreyfus1980;brown2020-gpt3,"Applying the standard few-shot prompting technique Brown et al. demonstrated (in-context examples, structured completions) independently for routine tasks is Dreyfus's advanced-beginner band -- recognized prompt patterns matched to known situations, not yet designed from first principles."
AI-01,P3,dreyfus1980;wei2022-cot,"Decomposing a problem into intermediate reasoning steps and chaining prompts autonomously is the deliberate chain-of-thought practice Wei et al. show is not automatic below a capability threshold -- applying it unaided for ambiguous problems is Dreyfus's competent band, the go-to for prompt design."
AI-01,P4,sfia9;bommasani2021-foundation,Defining migration strategies across model providers and versions requires the cross-model behavioral fluency Bommasani et al. describe as the differentiator once practice moves beyond a single foundation model; codifying that fluency into patterns others adopt is SFIA's higher responsibility band of setting technical direction.
AI-01,P5,sfia9;bommasani2021-foundation,"Anticipating shifts such as new modalities or reasoning models before they land in production is the ""opportunities and risks ahead of deployment"" framing Bommasani et al. establish for foundation-model strategy; SFIA's authority band grounds this as org-wide, not team-local, foresight."
AI-01,P6,dreyfus1980;sfia9;bommasani2021-foundation,"Shaping how the wider industry applies LLMs -- beyond any one org -- is the Dreyfus master band and SFIA's highest responsibility level, where the individual's own practice becomes a reference point others (including foundation-model researchers like Bommasani et al.) cite."
AI-02,P1,dreyfus1980,"Grasping why retrieval grounds generation -- without yet building a pipeline -- is Dreyfus's novice band: conceptual understanding of a supplied rationale, work reviewed before it is applied."
AI-02,P2,dreyfus1980;lewis2020-rag,"Building the chunk-embed-retrieve-generate pipeline Lewis et al. defined, independently and for routine cases, is Dreyfus's advanced-beginner band -- applying a named architecture as given rather than adapting it to novel constraints."
AI-02,P3,dreyfus1980;gao2023-rag-survey,"Combining hybrid search, reranking and freshness handling autonomously for ambiguous retrieval needs is the competent-level synthesis Gao et al.'s survey identifies as the layer of RAG practice built atop the base Lewis et al. recipe, not covered by any single fixed pipeline."
AI-02,P4,sfia9;johnson2019-faiss,Designing index strategy for retrieval at scale is the problem Johnson et al.'s billion-scale similarity search work exists to solve; defining that index architecture as a pattern others reuse across sources is SFIA's expert band of setting direction beyond one's own pipeline.
AI-02,P5,sfia9;gao2023-rag-survey,"Anticipating how longer context windows shift the cost/benefit of retrieval versus stuffing context is a forward-looking judgment the RAG survey literature (Gao et al.) frames as an open, evolving trade-off -- SFIA's authority band is the org-wide anticipation of that shift, not merely reacting to it."
AI-02,P6,dreyfus1980;sfia9,"Defining how AI systems access knowledge industry-wide is the master/pioneer band in Dreyfus's model and SFIA's top responsibility level -- the individual's retrieval architecture choices, informed by foundational work like Lewis et al. and Johnson et al., become the reference others build on."
AI-03,P1,dreyfus1980;yao2022-react,"Understanding the plan-act-observe loop that Yao et al.'s ReAct formalized, without yet building it, is Dreyfus's novice band -- conceptual grasp of a supplied structure under review."
AI-03,P2,dreyfus1980;yao2022-react,"Building a single-agent ReAct-style loop independently for routine workflows, with standard termination conditions, is Dreyfus's advanced-beginner band -- applying the named reasoning-acting pattern to recognized situations."
AI-03,P3,dreyfus1980;wu2023-autogen,"Handling state, recovery and permissioning for ambiguous multi-step tasks autonomously -- and judging when an agent is the wrong tool -- is the competent band's ownership of a non-routine design space that single-agent ReAct loops do not resolve on their own."
AI-03,P4,sfia9;wu2023-autogen;mcp-spec,"Operating multi-agent conversation frameworks like AutoGen and adopting interoperability standards such as Anthropic's Model Context Protocol is defining the emerging orchestration patterns SFIA's higher responsibility bands describe as setting technical direction others follow, not merely using a single agent."
AI-03,P5,sfia9;yao2022-react,"Anticipating how rising model autonomy reshapes system design -- ahead of standards like MCP being widely adopted -- is SFIA's authority band: org-wide anticipation of direction, grounded in the same autonomy-safety tension the ReAct line of work was built to manage."
AI-03,P6,dreyfus1980;sfia9;mcp-spec,Influencing emerging industry standards for agentic systems -- the kind of protocol work MCP represents -- is Dreyfus's master band and SFIA's top responsibility level: shaping the discipline rather than applying its current state of the art.
AI-04,P1,dreyfus1980,"Executing an existing eval suite carefully under review, without yet designing one, is Dreyfus's novice band -- correct execution of a supplied procedure."
AI-04,P2,dreyfus1980;liang2022-helm,"Building a basic eval set from real usage and measuring changes independently is the advanced-beginner application of a recognized practice -- routine before/after measurement -- not yet the systematic, multi-metric methodology HELM demonstrates."
AI-04,P3,dreyfus1980;zheng2023-mtbench,Designing LLM-as-judge evaluation with validation against human review is precisely the calibration problem Zheng et al. solved (showing GPT-4 judgments reach human-level agreement only once validated); doing this autonomously for a golden-set methodology is Dreyfus's competent band.
AI-04,P4,sfia9;liang2022-helm,"Running continuous, multi-scenario evaluation at scale is the taxonomize-and-measure-everywhere approach HELM operationalized across dozens of models and metrics; codifying that as the org's standard eval infrastructure is SFIA's expert band of defining patterns others adopt."
AI-04,P5,sfia9;zheng2023-mtbench,"Measuring quality where ground truth is contested -- the exact problem LLM-as-judge exists to approximate, per Zheng et al.'s finding that even strong judges carry position and verbosity biases -- is the authority-level judgment SFIA places above routine methodology application: recognizing and correcting for the judge's own limits."
AI-04,P6,dreyfus1980;sfia9;liang2022-helm,"Setting industry-wide standards for what ""proven to work"" means in AI evaluation is the master/pioneer band -- the individual's methodology, building on foundational holistic-evaluation work like HELM, becomes the reference the field cites."
AI-05,P1,dreyfus1980;owasp-llm-top10,"Recognizing and flagging concerning model behavior against known risk categories -- without yet implementing controls -- is Dreyfus's novice band, matching OWASP's own framing of its Top 10 as an awareness document for practitioners new to LLM-specific risks."
AI-05,P2,dreyfus1980;owasp-llm-top10,"Implementing filtering and refusal handling against the named risk categories in the OWASP LLM Top 10 independently, for routine cases, is Dreyfus's advanced-beginner band -- applying documented mitigations to recognized threats."
AI-05,P3,dreyfus1980;nist-ai-rmf,"Designing layered, stakes-proportional safety autonomously is the MAP/MEASURE discipline NIST's AI RMF defines as contextualizing risk to the specific system rather than applying a fixed checklist; doing this unaided for ambiguous, high-stakes launches is Dreyfus's competent band."
AI-05,P4,sfia9;nist-ai-rmf;bai2022-cai,Defining oversight and escalation frameworks that others adopt is the GOVERN function NIST's AI RMF places above system-level MEASURE/MANAGE activity; codifying self-critique-and-revision techniques like those Bai et al. describe as reusable safety infrastructure is SFIA's expert band of setting the approach others follow.
AI-05,P5,sfia9;nist-ai-rmf,"Balancing capability against safety under real product pressure, across many teams, is SFIA's authority band applied to the GOVERN function of the NIST AI RMF -- setting org-wide policy trade-offs rather than a single system's controls."
AI-05,P6,dreyfus1980;sfia9,Establishing responsible AI as a value recognized outside one's own org is the master/pioneer band -- externally credible practice that itself shapes documents like NIST's AI RMF and the OWASP Top 10 rather than merely applying them.
AI-06,P1,dreyfus1980,"Implementing specified transformations under review, without choosing which features to build, is Dreyfus's novice band -- following a supplied specification."
AI-06,P2,dreyfus1980;zheng-casari2018,"Applying the standard transformation techniques (binning, scaling, encoding) Zheng & Casari catalog independently for routine tasks is Dreyfus's advanced-beginner band -- known techniques matched to recognized data types."
AI-06,P3,dreyfus1980;zinkevich-rules-of-ml,"Avoiding leakage autonomously in ambiguous cases is exactly the training/serving-skew failure mode Zinkevich's Rules of ML names as a recurring, hard-to-spot production bug; catching it unaided for novel problems is Dreyfus's competent band."
AI-06,P4,sfia9;zinkevich-rules-of-ml,Defining leakage-prevention standards that other teams adopt is codifying the practice Zinkevich's rules describe at the level of an org-wide checklist rather than one engineer's vigilance -- SFIA's expert band of setting the approach others follow.
AI-06,P5,sfia9;zheng-casari2018,"Anticipating advances in representation techniques (e.g., learned embeddings displacing hand-built features) ahead of the org needing them is SFIA's authority band -- strategic foresight beyond any single pipeline's feature set, extending the domain Zheng & Casari catalog."
AI-06,P6,dreyfus1980;sfia9,"Being externally recognized for defining best practice is the master/pioneer band -- the individual's work becomes a reference alongside catalogs like Zheng & Casari and practice guides like Zinkevich's rules, not merely a consumer of them."
AI-07,P1,dreyfus1980,"Labeling to clear guidelines and flagging ambiguities under review, without authoring the guidelines, is Dreyfus's novice band -- correct execution of a supplied rule."
AI-07,P2,dreyfus1980;sambasivan2021-datacascades,"Applying labeling guidelines consistently and independently for routine datasets is the advanced-beginner band; it does not yet address the systemic data-quality risks Sambasivan et al. found in 92% of high-stakes AI projects, which require designing the guidelines rather than following them."
AI-07,P3,dreyfus1980;gebru2021-datasheets;sambasivan2021-datacascades,"Designing a labeling scheme and resolving quality issues autonomously is the documentation-and-provenance discipline Gebru et al.'s Datasheets for Datasets formalizes (motivation, collection process, recommended uses); doing this unaided for ambiguous cases is Dreyfus's competent band, directly preventing the data cascades Sambasivan et al. document."
AI-07,P4,sfia9;gebru2021-datasheets,"Defining annotation-quality standards other teams adopt is institutionalizing the datasheet practice Gebru et al. propose as a norm, not a one-off document; SFIA's expert band names this as setting the approach others follow."
AI-07,P5,sfia9;sambasivan2021-datacascades,Setting org-wide dataset strategy and anticipating shifts in curation practice is SFIA's authority band -- addressing the root causes of data cascades (Sambasivan et al.) at a strategic level rather than per-project mitigation.
AI-07,P6,dreyfus1980;sfia9,Being externally credible for defining industry best practice in dataset curation is the master/pioneer band -- work that extends foundational documentation frameworks like Gebru et al.'s datasheets into the field's reference standard.
AI-08,P1,dreyfus1980,"Registering and retrieving features from an existing store under guidance, without designing the store, is Dreyfus's novice band -- operating a supplied system."
AI-08,P2,dreyfus1980;hermann-delbalso2017-michelangelo,"Publishing and consuming reusable features independently is applying the shared-feature-registry pattern Hermann & Del Balso describe as Michelangelo's core value proposition, for routine, already-modeled use cases -- Dreyfus's advanced-beginner band."
AI-08,P3,dreyfus1980;hermann-delbalso2017-michelangelo,"Ensuring training/serving consistency and freshness autonomously is the exact cross-team correctness problem Hermann & Del Balso built Michelangelo's feature store to solve; doing this unaided for a new, ambiguous use case is Dreyfus's competent band."
AI-08,P4,sfia9;hermann-delbalso2017-michelangelo,Defining feature-store governance patterns other teams adopt is platform-level work of the kind Hermann & Del Balso describe scaling Michelangelo across all of Uber's ML teams; SFIA's expert band names this as setting direction others follow.
AI-08,P5,sfia9,"Setting org-wide feature-reuse strategy and anticipating shifts in feature management (e.g., toward real-time or embedding-based features) is SFIA's authority band -- strategic direction beyond any single platform's roadmap."
AI-08,P6,dreyfus1980;sfia9;hermann-delbalso2017-michelangelo,Being externally recognized for defining feature-reuse best practice across the discipline is the master/pioneer band -- the kind of influence the Michelangelo platform itself had industry-wide once its design was published.
AI-09,P1,dreyfus1980,"Training a model with given settings and reporting metrics under review, without choosing the model family, is Dreyfus's novice band."
AI-09,P2,dreyfus1980;hastie2009-esl,"Selecting among the standard supervised/unsupervised model families Hastie, Tibshirani & Friedman catalog, independently for routine problems, is Dreyfus's advanced-beginner band -- matching a known technique to a recognized problem shape."
AI-09,P3,dreyfus1980;hastie2009-esl,"Avoiding overfitting autonomously for ambiguous problems is the bias-variance trade-off Hastie et al. treat as the central, non-mechanical judgment call in model selection; making that judgment unaided is Dreyfus's competent band."
AI-09,P4,sfia9;hastie2009-esl,"Defining model-selection approaches other teams adopt, and resolving cases where standard bias-variance reasoning from Hastie et al. breaks down, is SFIA's expert band of setting an approach others follow rather than applying an existing one."
AI-09,P5,sfia9;hastie2009-esl,"Anticipating when classical techniques remain the right choice versus being displaced by newer methods is SFIA's authority-band strategic judgment, applied to the trade-off space Hastie et al. formalize."
AI-09,P6,dreyfus1980;sfia9,"Being externally recognized for defining model-selection best practice is the master/pioneer band -- contributing to the same body of reference work Hastie et al. represent, not merely applying it."
AI-10,P1,dreyfus1980,"Training a predefined architecture under review, without designing it, is Dreyfus's novice band."
AI-10,P2,dreyfus1980;goodfellow2016-deeplearning,"Adapting the standard architecture families Goodfellow, Bengio & Courville catalog (CNNs, RNNs, feedforward nets) independently for routine tasks is Dreyfus's advanced-beginner band -- applying known architectural patterns to recognized problem types."
AI-10,P3,dreyfus1980;goodfellow2016-deeplearning,"Debugging convergence issues autonomously for hard problems is the deep, non-formulaic optimization judgment Goodfellow et al. treat as the difficult part of training deep networks; resolving it unaided is Dreyfus's competent band."
AI-10,P4,sfia9;vaswani2017,"Defining a new architectural pattern others adopt across the field is the kind of contribution Vaswani et al.'s transformer made -- a named design others build on, not an adaptation of an existing one -- which is SFIA's expert band of setting direction others follow."
AI-10,P5,sfia9;vaswani2017,"Anticipating emerging model designs before they're established (the way attention-based architectures were anticipated before displacing recurrence, per Vaswani et al.) is SFIA's authority band -- org-wide strategic foresight, not one project's design choice."
AI-10,P6,dreyfus1980;sfia9;vaswani2017,Shaping industry practice for neural architecture -- the influence Vaswani et al.'s transformer paper itself had -- is the master/pioneer band: defining the discipline rather than working within it.
AI-11,P1,dreyfus1980,"Running a prescribed sweep and reporting results under guidance, without designing the search strategy, is Dreyfus's novice band."
AI-11,P2,dreyfus1980;bergstra2012-randomsearch,"Running the standard grid- or random-search sweeps Bergstra & Bengio benchmark, independently for routine models, is Dreyfus's advanced-beginner band -- applying a known search method to a recognized tuning problem."
AI-11,P3,dreyfus1980;snoek2012-bayesopt,"Designing an efficient search strategy for a hard, high-dimensional space autonomously is the problem Snoek et al.'s Bayesian optimization approach was built to solve, beyond what random search reliably handles; doing this unaided is Dreyfus's competent band."
AI-11,P4,sfia9;snoek2012-bayesopt,"Defining a tuning methodology other teams adopt, and resolving optimization cases where standard Bayesian or random search struggles, is SFIA's expert band of setting the approach others follow."
