type,key_area,key_attribute,theme,capability,E1,E2,E3,E4,E5,E6
meta_name,"Platform Engineer (IC Technical, E1-E6) - Canonical",,,,,,,,,
meta_description,"Canonical six-level IC ladder for platform engineering, consolidated by union from five independent same-methodology generations; E3 Senior is the terminal level.
",,,,,,,,,
level_title,,,,,Associate Platform Engineer,Platform Engineer,Senior Platform Engineer,Staff Platform Engineer,Senior Staff Platform Engineer,Principal Platform Engineer
level_scope,,,,,task,component,capability / domain (terminal level),multiple teams,organization,company
level_focus,,,,,Learns the platform and ships well-defined tasks with guidance,Owns platform components end to end and unblocks internal users independently,Owns a platform capability as a product; terminal level,Shapes platform architecture and adoption across multiple teams,Sets platform strategy and standards for the engineering organization,Sets company-wide platform direction and technical bets
skill,Platform as a Product,Product Discovery & Feedback,Internal user research,PM-01,"Depth: Runs scripted customer interviews and notes findings under a senior researcher's guidance. Evidenced by: Shadows platform users and sits in on interviews and support rotations, writing up the friction they hit. Scope: task.","Depth: Plans and conducts standard discovery for a feature, synthesizing themes with normal review. Evidenced by: Runs structured interviews and support-channel reviews with the internal engineers using their component. Scope: component.","Depth: Independently frames ambiguous problems, selects fitting methods, and separates signal from noise. Evidenced by: Designs and runs the discovery process for a capability. Scope: capability / domain (terminal level).",Depth: Designs the team's discovery approach and untangles findings others find contradictory. Evidenced by: Synthesizes research across several product teams into shared personas and friction maps other platform teams adopt. Scope: multiple teams.,Depth: Sets the org's research strategy and anticipates emerging customer needs before they surface. Evidenced by: Establishes the organization's standing platform research practice. Scope: organization.,Depth: Defines what rigorous product discovery means and shapes the discipline's practice externally. Evidenced by: Represents the internal developer experience at company level. Scope: company.
skill,Platform as a Product,Product Discovery & Feedback,Adoption & success metrics,PM-10,Depth: Pulls and reports defined product metrics under direction. Evidenced by: Pulls and charts existing adoption and usage numbers accurately when asked. Scope: task.,"Depth: Builds and interprets metric dashboards for a product with normal review. Evidenced by: Instruments their component with adoption, retention, and satisfaction signals. Scope: component.",Depth: Independently designs metric frameworks and draws sound conclusions from messy data. Evidenced by: Defines the success metrics for a capability. Scope: capability / domain (terminal level).,Depth: Defines the measurement model teams adopt and diagnoses misleading metrics others trust. Evidenced by: Standardizes how several platform teams measure adoption so their numbers compose. Scope: multiple teams.,Depth: Sets product-analytics strategy across the org and anticipates which signals will matter. Evidenced by: Owns the organization's platform scorecard. Scope: organization.,Depth: Defines rigorous product measurement for the discipline and is cited externally on it. Evidenced by: Frames platform value in company terms. Scope: company.
skill,Platform as a Product,Platform Strategy & Scope,Thinnest viable platform,OPS-31,"Depth: Checks for an existing tool, service, or open-source option before writing new code and raises what they find; asks whether a proposed task serves a real user need. Evidenced by: Finds that an existing internal CLI already covers most of a proposed new tool's use case and raises it in planning instead of starting a new build. Scope: task.","Depth: Proposes wrapping or configuring an existing service instead of building new when it meets the need, writing the comparison down and defending removal of unused features in their own component. Evidenced by: Recommends adopting the org's existing secrets-manager service instead of building a bespoke wrapper for their component, and writes up the build-vs-adopt comparison that settles it. Scope: component.","Depth: Keeps a whole capability at its thinnest viable size - makes explicit, documented build-buy-adopt decisions, ships the thinnest version that serves proven demand, and retires surface area whose maintenance cost exceeds its value. Evidenced by: Retires half a capability's plugin surface after usage telemetry shows only two of eight plugins are load-bearing, documenting the build-buy-adopt call for what stays. Scope: capability / domain (terminal level).","Depth: Arbitrates overlap and sprawl across teams - merges duplicate offerings, cuts under-used surface, and sets the bar for what deserves to be shared platform at all. Evidenced by: Merges two platform teams' overlapping feature-flag services into one and retires the duplicate. Scope: multiple teams.","Depth: Shapes the organization's platform boundary - what the platform owns versus product teams versus vendors - and drives the organization to shed what it should not own. Evidenced by: Draws the line for what the platform organization owns versus what product teams should just buy, and gets teams to hand back components that crossed it. Scope: organization.","Depth: Sets the build-buy-adopt principles an entire company references, keeping company-scale platform investment proportional to the delivery it unlocks. Evidenced by: Kills a company-wide platform initiative whose maintenance cost has outgrown the delivery it unlocks, over objections that the build already happened. Scope: company."
skill,Platform as a Product,Platform Strategy & Scope,Platform roadmap & prioritization,PM-05,Depth: Maintains roadmap items and updates status under guidance. Evidenced by: Explains why their current task is on the roadmap. Scope: task.,Depth: Builds and sequences a credible roadmap for one product with normal review. Evidenced by: Sequences their component's backlog by user impact. Scope: component.,Depth: Independently balances competing priorities and replans confidently under shifting constraints. Evidenced by: Owns the roadmap for a platform capability. Scope: capability / domain (terminal level).,Depth: Designs the planning approach others use and resolves cross-team portfolio conflicts. Evidenced by: Aligns roadmaps across platform teams. Scope: multiple teams.,Depth: Sets portfolio planning strategy and foresees where investment should shift next. Evidenced by: Drives the platform organization's investment strategy. Scope: organization.,Depth: Defines portfolio-planning best practice for the field and is recognized for it. Evidenced by: Sets multi-year platform direction for the company. Scope: company.
skill,Platform as a Product,Developer Experience,Golden paths & paved roads,OPS-27,"Depth: Maintains existing self-service platform components under review, addressing documented user requests. Evidenced by: Follows the golden path as a real user would and reports exactly where it breaks. Scope: task.",Depth: Independently builds and supports standard platform capabilities and templates for routine developer needs with review. Evidenced by: Builds and maintains golden-path assets for their component. Scope: component.,"Depth: Designs self-service workflows for ambiguous needs, reducing friction and resolving hard abstraction and adoption issues. Evidenced by: Designs a golden path for a whole use case end to end. Scope: capability / domain (terminal level).","Depth: Defines platform architecture and golden paths others adopt, solving deep developer-experience and leverage problems. Evidenced by: Reconciles golden paths across teams into coherent journeys. Scope: multiple teams.","Depth: Sets organization-wide platform strategy, anticipating how developer-experience engineering should evolve. Evidenced by: Defines the organization's paved-road strategy. Scope: organization.","Depth: Defines what excellent platform engineering means for the field, shaping industry developer-experience practice. Evidenced by: Makes the paved road the company default by economics and quality, not policy. Scope: company."
skill,Platform as a Product,Developer Experience,Cognitive load reduction,OPS-32,"Depth: Names the exact docs, errors, and setup steps that forced them to understand internals a consumer should not need, and files concrete simplification issues. Evidenced by: Flags that provisioning a database requires reading the underlying Terraform module's internals just to fill in one required field, and files the doc fix. Scope: task.","Depth: Reduces the concepts and steps a consumer must hold to use their component - collapsing configuration, defaulting decisions, rewriting errors to say what to do next - and shows the before/after. Evidenced by: Collapses a twelve-field service-creation form down to two required fields by defaulting the rest, and shows the before/after time-to-first-deploy. Scope: component.","Depth: Designs a capability's abstractions around what consumers must not have to know, so a first-time user succeeds without reading internals; measures load with time-to-first-success and support-ticket themes and treats regressions as defects. Evidenced by: Rewrites a capability's onboarding so a first-time consumer ships without reading the implementation, tracking time-to-first-success as the load metric. Scope: capability / domain (terminal level).","Depth: Audits cognitive load across team boundaries - quantifying onboarding time, concepts-to-learn, and ticket themes - and drives the cross-boundary simplifications no single team could make. Evidenced by: Finds three teams independently solved the same secrets-rotation problem because none could see the others' internals, and drives the shared fix across all three. Scope: multiple teams.","Depth: Makes cognitive load a first-class organizational measure with explicit load budgets, vetoing designs that externalize complexity onto consuming teams. Evidenced by: Sets an explicit cognitive-load budget per platform surface and vetoes a design that would have pushed new required concepts onto every consuming team. Scope: organization.","Depth: Shapes company-level technology and team-boundary choices explicitly around team cognitive load, arguing for fewer, deeper abstractions over sprawling optionality. Evidenced by: Argues successfully against a company-wide multi-cloud push on cognitive-load grounds -- fewer, deeper abstractions over optionality -- and the simpler single-cloud default ships instead. Scope: company."
skill,Platform Software Engineering,Design & Architecture,Platform system design,SWE-05,"Depth: Implements designs specified by others; asks why, not just how. Evidenced by: Explains the platform's architecture in their own words. Scope: task.","Depth: Designs sound components; understands coupling, cohesion, interface design. Evidenced by: Designs a component within an established architecture. Scope: component.","Depth: Designs systems for evolution: clean seams, versioned interfaces, replaceable parts. Evidenced by: Selects patterns by trade-off in design docs that name alternatives, failure modes, and evolution paths. Scope: capability / domain (terminal level).",Depth: Mastery of architecture for complex systems; sets patterns and prevents drift. Evidenced by: Drives designs that cut across several teams' systems. Scope: multiple teams.,Depth: Sets multi-year architecture direction across the org. Evidenced by: Sets the architectural direction the platform organization builds against. Scope: organization.,Depth: Authoritative and externally credible; defines architectural approach others follow. Evidenced by: Makes the company's foundational architecture bets. Scope: company.
skill,Platform Software Engineering,Design & Architecture,API & interface design,SWE-07,Depth: Understands HTTP/REST and the deploy pipeline; makes guided changes. Evidenced by: Uses the platform's APIs correctly from documentation alone. Scope: task.,"Depth: Designs clean APIs; understands rate limits, retries, timeouts, idempotency. Evidenced by: Extends a component's interface without breaking consumers. Scope: component.",Depth: Designs services for scale and cost; understands distributed failure modes. Evidenced by: Designs a capability's interface as a long-lived product contract. Scope: capability / domain (terminal level).,"Depth: Expert in platform/service design (multi-tenancy, capacity, shared services). Evidenced by: Aligns interface conventions across several teams' APIs so the platform feels like one product. Scope: multiple teams.",Depth: Sets interface standards used across the org. Evidenced by: Owns the organization's interface standards. Scope: organization.,Depth: Defines company-wide API approach; trusted with irreversible interface bets. Evidenced by: Sets the company's contract with its developers. Scope: company.
skill,Platform Software Engineering,Code Craft & Quality,Coding & implementation,SWE-02,"Depth: Writes functional, readable code; uses version control correctly; responds well to review. Evidenced by: Ships small, working changes that follow the codebase's conventions and pass review with minor feedback. Scope: task.","Depth: Writes clean, documented, modular code; gives useful review feedback. Evidenced by: Ships production-quality code independently. Scope: component.",Depth: Designs for maintainability; leads refactors of problem areas; review feedback teaches. Evidenced by: Writes the code others study to learn how it is done here. Scope: capability / domain (terminal level).,"Depth: Expert in code health at scale (shared libraries, deprecations, large migrations). Evidenced by: Raises the code-health baseline across teams. Scope: multiple teams.",Depth: Shapes org-wide engineering standards for long-lived codebases. Evidenced by: Defines what code quality means for the organization. Scope: organization.,Depth: Defines what good engineering looks like company-wide; externally recognized. Evidenced by: Holds the company's long-horizon code health against short-term pressure. Scope: company.
skill,Platform Software Engineering,Code Craft & Quality,Code review,SWE-04,Depth: Navigates the codebase and understands code shown; reviews small changes. Evidenced by: Reviews peers' changes for readability and test coverage and asks genuine questions. Scope: task.,"Depth: Independently understands unfamiliar code; gives timely, specific review feedback. Evidenced by: Gives reviews that catch real defects. Scope: component.","Depth: Quickly grasps complex/legacy systems; reviews raise the bar across a domain. Evidenced by: Reviews for systemic risk, not just correctness. Scope: capability / domain (terminal level).",Depth: Expert at reviewing high-risk changes; review standards spread across teams. Evidenced by: Calibrates review culture across teams. Scope: multiple teams.,Depth: Authority on review practice org-wide. Evidenced by: Designs the organization's quality gates. Scope: organization.,Depth: Defines what good review looks like; shapes industry-facing practice. Evidenced by: Reviews the changes that change the company. Scope: company.
