type,key_area,key_attribute,theme,capability,M1,M2,M3,M4,M5,M6
meta_name,Engineering Management (M1-M6) - Canonical,,,,,,,,,
meta_description,"People-leadership ladder (M1-M6) for engineering management, from first-line manager through SVP / org lead, spanning leadership & direction, execution & operations, people & talent, technical stewardship, communication & influence, and self & personal effectiveness.
",,,,,,,,,
level_title,,,,,Engineering Manager,Senior Engineering Manager,Director,Senior Director,VP,SVP / Org Lead
level_scope,,,,,one team,a complex / critical team,a domain (cross-team),a sub-org,a function,org-wide
level_focus,,,,,builds one healthy,runs a high-stakes team and multiplies senior ICs,aligns a cross-team domain through leaders and mechanisms,builds the operating system a sub-org runs on,sets functional direction and represents engineering to the business,sets org-wide direction
skill,Leadership & Direction,Strategy & Vision,Strategy Formulation,STRAT-01,"Depth: Develops components of strategy and standard analyses independently with normal review. Evidenced by: Writes a team charter that names the problem the team exists to solve, not just its goals. Scope: one team.",Depth: Frames ambiguous strategic problems and shapes coherent strategy autonomously; the go-to strategist. Evidenced by: Reframes a team's stalled 'strategy' around its actual obstacle after spotting it was really just goals restated as ambition. Scope: a complex / critical team.,"Depth: Defines strategy-formulation approaches others adopt; resolves the hardest strategic trade-offs. Evidenced by: Publishes the domain strategy several teams plan against, naming the bets, non-goals, and rejected alternatives. Scope: a domain (cross-team).","Depth: Defines strategy-formulation approaches others adopt; resolves the hardest strategic trade-offs. Evidenced by: Reconciles competing team strategies into one coherent investment thesis, cutting real programs to fund the guiding policy. Scope: a sub-org.",Depth: Sets the enterprise strategic direction; anticipates major shifts reshaping the competitive landscape. Evidenced by: Sets multi-year direction for a function and defends its trade-offs at the executive table with market and delivery evidence. Scope: a function.,"Depth: Defines corporate-strategy practice recognized industry-wide; externally cited thought leader. Evidenced by: Frames the company-level bets the executive team commits to, and revises the diagnosis publicly when it changes. Scope: org-wide."
skill,Leadership & Direction,Strategy & Vision,Vision & Goal Alignment,STRAT-02,Depth: Runs standard planning cycles and cascades objectives independently with normal review. Evidenced by: Translates org direction into team goals specific enough that anyone can say whether they were hit. Scope: one team.,"Depth: Designs planning for complex, interdependent units and resolves misalignment autonomously. Evidenced by: Repairs a vague or sandbagged goal during planning by adding leading indicators and a counter-metric against gaming. Scope: a complex / critical team.","Depth: Defines the planning and goal-cascade methodology others adopt; fixes the hardest alignment failures. Evidenced by: Runs the goal cadence a domain uses so objectives interlock across teams, catching collisions before the quarter starts. Scope: a domain (cross-team).","Depth: Defines the planning and goal-cascade methodology others adopt; fixes the hardest alignment failures. Evidenced by: Builds the goal architecture a sub-org runs on, calibration and scoring rituals included, that functions without them in the room. Scope: a sub-org.","Depth: Sets the enterprise planning operating model; anticipates shifts in how strategy translates to execution. Evidenced by: Sets function-level outcomes the business plans around, brokering trade-offs with product and finance. Scope: a function.","Depth: Defines strategic-planning best practice recognized across the field; externally credible authority. Evidenced by: Audits the line of sight from mission to every level's goals, and publicly retires goals that no longer serve it. Scope: org-wide."
skill,Leadership & Direction,Change & Organizational Design,Leading Change,EM-12,"Depth: Leads a contained team change with normal review. Evidenced by: Lands a team-level change by naming the why, piloting it, and following through past the initial dip. Scope: one team.","Depth: Independently drives significant change through resistance to durable adoption. Evidenced by: Sequences a disruptive change on a critical team with a stated case for urgency and staged early wins, and kills it publicly if it is not working. Scope: a complex / critical team.","Depth: Defines change approaches others adopt and rescues stalled transformations. Evidenced by: Builds the coalition for a cross-team change before announcing it, recruiting early adopters and converting skeptics on the record. Scope: a domain (cross-team).","Depth: Defines change approaches others adopt and rescues stalled transformations. Evidenced by: Runs multiple concurrent changes across a sub-org without exceeding its absorption capacity, with explicit reversal criteria. Scope: a sub-org.","Depth: Sets the org's transformation strategy and anticipates where change is needed next. Evidenced by: Leads function-wide transformation with an honest cost narrative executives sign up for, anchored in reviews and incentives. Scope: a function.","Depth: Defines effective engineering transformation for the discipline and shapes external practice. Evidenced by: Times and frames org-wide change against market conditions, absorbing the political cost personally so teams can execute. Scope: org-wide."
skill,Leadership & Direction,Change & Organizational Design,Organizational & Team Design,EM-04,"Depth: Designs a sound structure for one team with normal review. Evidenced by: Shapes roles, ownership boundaries, and on-call load inside the team so work flows without waiting on one person. Scope: one team.","Depth: Independently restructures teams to fit changing work and resolves boundary conflicts. Evidenced by: Redraws a team's boundaries when the system outgrows them, showing the load reduction afterward -- fewer handoffs, fewer pages. Scope: a complex / critical team.",Depth: Defines org-design approaches others adopt and reshapes the most tangled structures. Evidenced by: Designs multi-team boundaries for a domain with the Conway's-law consequences named; neighboring leads co-sign the design. Scope: a domain (cross-team).,"Depth: Defines org-design approaches others adopt and reshapes the most tangled structures. Evidenced by: Designs a sub-org's structure around the work rather than around people, modeling transition costs before the announcement. Scope: a sub-org.","Depth: Sets org-structuring strategy across the org and anticipates scaling inflection points. Evidenced by: Sets the function's principles for when to split, merge, or platformize teams, evolving shape ahead of scale inflections. Scope: a function.",Depth: Defines effective engineering-org design for the discipline and is cited externally on it. Evidenced by: Publishes the org-wide design principles other leaders use for their own restructures. Scope: org-wide.
skill,Leadership & Direction,Alignment & Adaptive Leadership,Driving Alignment & Decision Clarity,LI-05,"Depth: Aligns direct partners on scoped decisions. Evidenced by: Closes decisions in the room and writes down the call, the owner, and the revisit date where the team works. Scope: one team.","Depth: Drives alignment across a domain; turns disagreement into committed direction. Evidenced by: Briefs intent so well the team makes correct calls in their absence, catching drift at the weekly instead of the postmortem. Scope: a complex / critical team.",Depth: Aligns multiple teams and leadership behind a direction. Evidenced by: Aligns teams they do not run on shared intent through one-page briefs and decision forums with real closure rules. Scope: a domain (cross-team).,"Depth: Aligns multiple teams and leadership behind a direction. Evidenced by: Builds a sub-org's decision architecture and unblocks stuck decisions by fixing the process, not just the decision. Scope: a sub-org.",Depth: Creates forums/narratives through which the org aligns. Evidenced by: Aligns a function with company strategy through briefed intent that executives and engineers repeat verbatim. Scope: a function.,"Depth: Aligns the company behind direction; externally persuasive. Evidenced by: Keeps an entire org pointed at the same intent through noise, repeating the direction until org-wide decisions visibly trace to it. Scope: org-wide."
skill,Leadership & Direction,Alignment & Adaptive Leadership,Situational & Adaptive Leadership,LI-08,"Depth: Matches direction and support to each person's readiness per task — directing, coaching, supporting, or delegating deliberately — and tells technical problems from adaptive ones. Evidenced by: Delegates a familiar task to a seasoned engineer and coaches a struggling new hire through the same kind of task step by step, in the same week. Scope: one team.","Depth: Flexes skillfully across a wide range of people and hard situations without losing a grounded center; refuses to force technical fixes onto adaptive challenges and names the difference. Evidenced by: Refuses to force a technical fix onto an adaptive challenge on a critical team, and names the difference in the room. Scope: a complex / critical team.","Depth: Coaches other leaders to read what a person, team, or moment needs; adapts across diverse teams while staying recognizably consistent in values. Evidenced by: Coaches a peer lead who defaults to hands-on rescue to recognize when a team's problem is adaptive, not technical, and to back off instead of fixing it themselves. Scope: a domain (cross-team).","Depth: Coaches other leaders to read what a person, team, or moment needs; adapts across diverse teams while staying recognizably consistent in values. Evidenced by: Develops adaptive leadership as a discipline across a sub-org, teaching leaders to diagnose technical-versus-adaptive at scale. Scope: a sub-org.","Depth: Develops adaptive leadership as an organizational discipline — leaders diagnose technical-versus-adaptive at scale, and the leadership style changes when the situation does. Evidenced by: Sets the tone for adaptive, authentic leadership across a function, adjusting their own approach to what the function needs now. Scope: a function.","Depth: Shapes an adaptive, grounded leadership culture across an organization — style stays plastic to conditions while values stay fixed; the approach is emulated beyond the organization. Evidenced by: Keeps the org's leadership style recognizable through a merger that could have imported a completely different culture. Scope: org-wide."
skill,Execution & Operations,Planning & Prioritization,Planning & Estimation,PD-04,"Depth: Estimates scoped work realistically; plans own 1-3 week projects. Evidenced by: Publishes a team plan with ranged estimates and named assumptions, and re-plans visibly when reality diverges. Scope: one team.","Depth: Plans quarter-scale, multi-workstream efforts including dependencies. Evidenced by: Plans a critical team through dependency-heavy work, sequencing around external teams and buffering the riskiest items first. Scope: a complex / critical team.","Depth: Expert at planning large programs; anticipates risk early. Evidenced by: Runs planning across a domain so team plans compose into one deliverable picture, surfacing cross-team collisions weeks early. Scope: a domain (cross-team).",Depth: Expert at planning large programs; anticipates risk early. Evidenced by: Builds the planning system a sub-org runs on and coaches leaders until plan quality is uniform across it. Scope: a sub-org.,Depth: Plans org-level programs across quarters/years. Evidenced by: Converts portfolio uncertainty into ranged function-level commitments the business plans around. Scope: a function.,"Depth: Shapes how the company plans major technical change. Evidenced by: Sets the org's planning philosophy -- horizon, cadence, commitment culture -- and arbitrates when annual bets collide. Scope: org-wide."
skill,Execution & Operations,Planning & Prioritization,Prioritization & Trade-offs,PD-02,Depth: Makes sound priority calls within scope; time-boxes uncertain work. Evidenced by: Ranks the backlog with explicit cost-of-delay reasoning and says no to a low-value request with the reasons attached. Scope: one team.,"Depth: Balances cost/value/risk across a domain; resists hype; decisions hold up over months. Evidenced by: Trades scope, quality, and date on a critical deliverable with the reasoning written down so it travels. Scope: a complex / critical team.","Depth: Expert at portfolio-level trade-offs; surfaces hidden assumptions; trusted tiebreaker. Evidenced by: Arbitrates priority conflicts between teams using a shared economic frame they introduced, with the accepted trade-offs on record. Scope: a domain (cross-team).","Depth: Expert at portfolio-level trade-offs; surfaces hidden assumptions; trusted tiebreaker. Evidenced by: Kills or defers whole initiatives to keep a sub-org's portfolio inside real capacity, delivering the news to sponsors personally. Scope: a sub-org.","Depth: Sets decision frameworks for the org. Evidenced by: Sets the investment split across run, grow, and transform for a function with an economic case finance signs off on. Scope: a function.","Depth: Influences company strategic direction through judgment. Evidenced by: Makes the org's few irreversible bets explicitly and stages the reversible ones, saying no to good ideas in public. Scope: org-wide."
skill,Execution & Operations,Delivery & Reliability,Predictable Delivery & Execution,EM-07,"Depth: Drives delivery of a standard program with normal review. Evidenced by: Runs a delivery cadence where commitments are met or renegotiated early, and flags slips with options, not apologies. Scope: one team.",Depth: Independently runs complex multi-team programs and recovers slipping delivery. Evidenced by: Recovers a slipping critical program by re-scoping and communicating the new plan before being asked. Scope: a complex / critical team.,"Depth: Defines delivery practices others adopt and rescues the most troubled programs. Evidenced by: Runs cross-team delivery with dependencies mapped, negotiating interface contracts between teams before integration, not after. Scope: a domain (cross-team).","Depth: Defines delivery practices others adopt and rescues the most troubled programs. Evidenced by: Builds the program mechanisms that let multi-quarter, multi-team programs land, and coaches other leads to run them. Scope: a sub-org.","Depth: Sets the org's delivery strategy and anticipates systemic delivery risks. Evidenced by: Gives executives delivery forecasts they plan the business on, with early warning the moment a forecast breaks. Scope: a function.","Depth: Defines what excellent program delivery means and shapes external practice. Evidenced by: Sets the org's execution bar for what 'on time' and 'done' mean, and personally intervenes on the few existential programs. Scope: org-wide."
